# M6 v11 canonical neutral chaoiton profile beta(r)
# ODE: beta'' + (2/r)beta' - (2/r^2)beta + lambda*beta + 4g*beta^3 = 0
"# g = 1.0, lambda = -0.26469686, m_J_raw = sqrt(-lambda) = 0.51448699"
"# eta = 0.42511430, H/Q_spherical = 2.11756090"
"# m_chi = 0.460004 MeV, m_J = 0.618427 MeV, C = 770.16 MeV*fm"
# natural length unit R_phys = hbar*c/m_e = 386.1593 fm
r_natural,r_fm,beta_natural,dbeta_dr_natural
0.66596134,257.1671,3.3456167262e-01,4.9991727041e-01
0.67276093,259.7929,3.3795964054e-01,4.9954175894e-01
0.67956052,262.4186,3.4135499109e-01,4.9914733911e-01
0.68636012,265.0443,3.4474759422e-01,4.9873357416e-01
0.69315971,267.6700,3.4813731689e-01,4.9830002496e-01
0.69995930,270.2958,3.5152402310e-01,4.9784625019e-01
0.70675889,272.9215,3.5490757382e-01,4.9737180643e-01
0.71355849,275.5472,3.5828782698e-01,4.9687624828e-01
0.72035808,278.1730,3.6166463748e-01,4.9635912855e-01
0.72715767,280.7987,3.6503785720e-01,4.9581999839e-01
0.73395727,283.4244,3.6840733496e-01,4.9525840744e-01
0.74075686,286.0501,3.7177291649e-01,4.9467390399e-01
0.74755645,288.6759,3.7513444446e-01,4.9406603508e-01
0.75435605,291.3016,3.7849175843e-01,4.9343434675e-01
0.76115564,293.9273,3.8184469490e-01,4.9277838418e-01
0.76795523,296.5530,3.8519308728e-01,4.9209769183e-01
0.77475482,299.1788,3.8853676588e-01,4.9139181364e-01
0.78155442,301.8045,3.9187555787e-01,4.9066029322e-01
0.78835401,304.4302,3.9520928733e-01,4.8990267402e-01
0.79515360,307.0559,3.9853777526e-01,4.8911849953e-01
0.80195320,309.6817,4.0186083956e-01,4.8830731348e-01
0.80875279,312.3074,4.0517829501e-01,4.8746866001e-01
0.81555238,314.9331,4.0848995328e-01,4.8660208392e-01
0.82235198,317.5588,4.1179562295e-01,4.8570713085e-01
0.82915157,320.1846,4.1509510954e-01,4.8478334750e-01
0.83595116,322.8103,4.1838821550e-01,4.8383028184e-01
0.84275075,325.4360,4.2167474017e-01,4.8284748333e-01
0.84955035,328.0617,4.2495447985e-01,4.8183450319e-01
0.85634994,330.6875,4.2822722779e-01,4.8079089458e-01
0.86314953,333.3132,4.3149277422e-01,4.7971621285e-01
0.86994913,335.9389,4.3475090637e-01,4.7861001576e-01
0.87674872,338.5646,4.3800140845e-01,4.7747186379e-01
0.88354831,341.1904,4.4124406167e-01,4.7630132033e-01
0.89034791,343.8161,4.4447864431e-01,4.7509795196e-01
0.89714750,346.4418,4.4770493171e-01,4.7386132868e-01
0.90394709,349.0675,4.5092269632e-01,4.7259102416e-01
0.91074668,351.6933,4.5413170767e-01,4.7128661605e-01
0.91754628,354.3190,4.5733173245e-01,4.6994768627e-01
0.92434587,356.9447,4.6052253450e-01,4.6857382118e-01
0.93114546,359.5705,4.6370387489e-01,4.6716461196e-01
0.93794506,362.1962,4.6687551193e-01,4.6571965475e-01
0.94474465,364.8219,4.7003720119e-01,4.6423855111e-01
0.95154424,367.4476,4.7318869554e-01,4.6272090820e-01
0.95834384,370.0734,4.7632974520e-01,4.6116633910e-01
0.96514343,372.6991,4.7946009780e-01,4.5957446305e-01
0.97194302,375.3248,4.8257949841e-01,4.5794490574e-01
0.97874261,377.9505,4.8568768953e-01,4.5627729971e-01
0.98554221,380.5763,4.8878441123e-01,4.5457128456e-01
0.99234180,383.2020,4.9186940113e-01,4.5282650725e-01
0.99914139,385.8277,4.9494239450e-01,4.5104262244e-01
1.00594099,388.4534,4.9800312426e-01,4.4921929275e-01
1.01274058,391.0792,5.0105132108e-01,4.4735618910e-01
1.01954017,393.7049,5.0408671342e-01,4.4545299101e-01
